V,I,P,R,T,mAH,WH
34.497,7.45,257,4.63,25,3513.59,128.51935
34.482,7.45,256.9,4.63,25,3533.9,129.21967
34.464,7.45,256.8,4.63,25,3554.6,129.93321
34.447,7.45,256.6,4.62,25,3575.39,130.64981
34.433,7.45,256.5,4.62,25,3596.56,131.37889
34.416,7.45,256.4,4.62,25,3617.28,132.09198
34.4,7.45,256.3,4.62,25,3638.02,132.80586
34.385,7.45,256.2,4.62,25,3658.33,133.50418
34.371,7.45,256.1,4.61,25,3679.05,134.21657
34.355,7.45,255.9,4.61,25,3699.76,134.92812
34.339,7.45,255.8,4.61,25,3720.89,135.65381
34.324,7.45,255.7,4.61,25,3741.61,136.36539
34.311,7.45,255.6,4.61,25,3761.59,137.05078
34.296,7.45,255.5,4.6,25,3782.7,137.77502
34.281,7.45,255.4,4.6,25,3803.4,138.48489
34.272,7.45,255.3,4.6,25,3824.11,139.19452
34.253,7.45,255.2,4.6,25,3844.42,139.89043
34.241,7.45,255.1,4.6,25,3865.23,140.603
34.226,7.45,255,4.59,25,3885.92,141.31143
34.213,7.45,254.9,4.59,25,3906.62,142.01962
34.199,7.45,254.8,4.59,25,3927.76,142.74271
34.185,7.45,254.7,4.59,25,3948.46,143.45058
34.171,7.45,254.6,4.59,25,3968.75,144.14404
34.159,7.45,254.5,4.59,25,3989.46,144.85138
34.145,7.45,254.4,4.58,25,4010.19,145.55959
34.132,7.45,254.3,4.58,25,4031.32,146.28094
34.118,7.45,254.2,4.58,25,4052.02,146.98717
34.103,7.45,254.1,4.58,25,4072.72,147.69321
34.093,7.45,254,4.58,25,4093.03,148.3857
34.079,7.45,253.9,4.57,25,4113.73,149.09149
34.067,7.45,253.8,4.57,25,4134.06,149.78404
34.053,7.45,253.7,4.57,25,4154.81,150.49072
34.04,7.45,253.6,4.57,25,4175.5,151.19536
34.027,7.45,253.5,4.57,25,4196.61,151.91376
34.016,7.45,253.4,4.57,25,4217.32,152.61819
34.002,7.45,253.3,4.56,25,4237.6,153.30794
33.991,7.45,253.2,4.56,25,4258.32,154.01254
33.978,7.45,253.1,4.56,25,4279.05,154.71696
33.966,7.45,253,4.56,25,4300.16,155.43401
33.952,7.45,252.9,4.56,25,4320.86,156.13681
33.941,7.45,252.9,4.56,25,4341.14,156.82527
33.928,7.45,252.8,4.55,25,4361.88,157.52905
33.916,7.45,252.7,4.55,25,4382.6,158.23215
33.905,7.45,252.6,4.55,25,4403.38,158.93661
33.891,7.45,252.5,4.55,25,4424.5,159.65247
33.88,7.45,252.4,4.55,25,4444.44,160.32814
33.867,7.45,252.3,4.55,25,4465.57,161.04388
33.856,7.45,252.2,4.54,25,4486.31,161.74609
33.843,7.45,252.1,4.54,25,4507.05,162.44835
33.831,7.45,252,4.54,25,4527.35,163.13528
33.819,7.45,252,4.54,25,4548.1,163.83714
33.808,7.45,251.9,4.54,25,4568.82,164.53763
33.795,7.45,251.8,4.54,25,4589.94,165.25182
33.784,7.45,251.7,4.53,25,4610.67,165.95224
33.772,7.45,251.6,4.53,25,4630.96,166.63734
33.759,7.45,251.5,4.53,25,4651.67,167.33676
33.748,7.45,251.4,4.53,25,4672.4,168.0365
33.736,7.45,251.3,4.53,25,4693.11,168.73534
33.725,7.45,251.3,4.53,25,4714.26,169.44838
33.712,7.45,251.2,4.53,25,4734.96,170.14665
33.702,7.45,251.1,4.52,25,4755.3,170.83211
33.688,7.45,251,4.52,25,4775.99,171.52919
33.677,7.45,250.9,4.52,25,4796.3,172.2135
33.664,7.45,250.8,4.52,25,4817.01,172.9108
33.654,7.45,250.7,4.52,25,4837.73,173.60825
33.642,7.45,250.6,4.52,25,4858.52,174.30757
33.631,7.45,250.6,4.51,25,4879.67,175.01894
33.617,7.45,250.4,4.51,25,4900.37,175.71503
33.61,7.45,250.4,4.51,25,4920.65,176.39655
33.594,7.45,250.3,4.51,25,4941.41,177.09416
33.584,7.45,250.2,4.51,25,4962.17,177.79144
33.571,7.45,250.1,4.51,25,4982.95,178.48918
33.56,7.45,250,4.5,25,5003.27,179.17126
33.547,7.45,249.9,4.5,25,5023.98,179.86612
33.536,7.45,249.8,4.5,25,5044.72,180.56192
33.524,7.45,249.8,4.5,25,5065.83,181.26962
33.511,7.45,249.7,4.5,25,5086.53,181.9633
33.5,7.45,249.6,4.5,25,5107.25,182.65761
33.489,7.45,249.5,4.5,25,5127.55,183.33754
33.476,7.45,249.4,4.49,25,5148.27,184.03134
33.463,7.45,249.3,4.49,25,5169,184.72519
33.452,7.45,249.2,4.49,25,5190.13,185.43224
33.439,7.45,249.1,4.49,25,5210.88,186.12607
